4;¿En que ano fue la Provincializacion del Chaco?;1951;1980;1810;2000;1951;1
5;¿Para que una provincia sea provincializada cuantos habitantes deberia tener?;60000;10000;254617;Todas las anteriores;60000;2
6;Campo del Cielo: Patrimonio Cultural y Turistico del Chaco, ¿Donde se ubica?;Maipu;Bermejo;12 de Octubre;-;12 de Octubre;1
7;Al norte el limite natural establecido entre la Provincia de Chaco y Formosa es:;Pilcomayo;Parana;Bermejo;-;Bermejo;1
8;Al sur, el limite establecido entre la Provincia del Chaco y Santa Fe es:;Paralelo 28;Paralelo 29;Paralelo 30;Paralelo 31;Paralelo 28;2
9;El ex ferrocarril General Belgrano conectaba a:;Puerto de Barranqueras con Formosa;Puerto de Barranqueras con Salta;Puerto de Barranquera con Santiago del Estero;-;Puerto de Barranqueras con Salta;2
10;En el ambito de los juegos olimpicos, el Chaco tiene un medallista en:;Futbol;Basquet;Jockey;-;Basquet;2
11;Marcela Gomez, chaquena, participo en los Juegos Olimpicos de Tokio en:;Atletismo;Natacion;Remo;-;Atletismo;1
12;El club de futbol mas antiguo del Chaco es;For Ever;Sarmiento;Don Orione;-;Sarmiento;1
13;En 1941 se declaro a un instrumento musical como el Patrimonio Cultural de Chaco, ¿Cual es?;Acordeon;N´vike;Charango;-;N´vike;2
14;La palabra Chacu del cual deriva el nombre de nuestra provincia, tenia un significado ¿Cual era?;Nombre de un arbol que abunda en la region;Nombre de un animal;Caza comunal de animales;-;Caza comunal de animales;1
15;La superficie total de la provincia del Chaco es de:;32.565 Km²;29.900 Km²;99.633 Km²;124.434 Km²;99.633 Km²;1
16;La poblacion actual del Chaco oscila entre:;300.000;200.000;1.000.000;950.000;1.000.000;1
17;¿Quien fue el primer gobernador del Territorio Nacional del Chaco?;Gral. Lorenzo Winter;Gral. Julio de Vedia;Gral. Antonio Donovan;-;Gral. Julio de Vedia;2
18;En la bandera del Chaco hay un arado rodeado de 25 estrellas ¿Que representan?;Las ciudades principales;Los departamentos provinciales;Grandes personajes que forzaron Chaco;-;Los departamentos provinciales;2
19;En un emblematico edificio de Resistencia se encuentra un mural del Emilio Pettoruti ¿Donde se?;La Municipalidad de la Ciudad;El Fogon de los Arrieros;Casa de Gobierno;-;Casa de Gobierno;1
20;La produccion destacada chaquena por la cual se la reconoce a la provincia es:;Cana de azucar;Produccion de tanino;Algodon;-;Algodon;2
